Model,Dataset,Method,Weight,Label,Step,Percentile,AUROC,PRC,Precision,Recall,F1 score,Random Seed,Date
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,11.363688468933107,0.6393402271447058,0.1300756249683149,0.11991869918699187,0.37884115578657696,0.18217239478037126,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,12.020628881454467,0.6393402271447058,0.1300756249683149,0.1320815589108272,0.312949090353157,0.18576160442851308,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,12.894690990447998,0.6393402271447058,0.1300756249683149,0.15418118466898956,0.24354074300565662,0.18882237894861612,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,14.336657428741455,0.6393402271447058,0.1300756249683149,0.20518776616337592,0.16205473169240178,0.1810882378064406,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,14.77643447875976,0.6393402271447058,0.1300756249683149,0.22235664166465038,0.1404983947408653,0.1721941165448754,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,15.367220106124876,0.6393402271447058,0.1300756249683149,0.2429032258064516,0.11512001223054578,0.1562078622549528,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,16.20433570861816,0.6393402271447058,0.1300756249683149,0.27189163038219644,0.0859195841614432,0.13057620817843865,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,17.595179748535152,0.6393402271447058,0.1300756249683149,0.3065764023210832,0.04846353768536921,0.0836963696369637,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,17.815490951538095,0.6393402271447058,0.1300756249683149,0.31290322580645163,0.04448861030423483,0.07790121804309999,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,18.074190414428728,0.6393402271447058,0.1300756249683149,0.3216444981862152,0.040666564745451765,0.0722041259500543,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,18.302474123001083,0.6393402271447058,0.1300756249683149,0.319060773480663,0.03531570096315548,0.06359256710254645,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,18.6388136711121,0.6393402271447058,0.1300756249683149,0.3225806451612903,0.030576364470264485,0.055858120374249406,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,19.01602554321289,0.6393402271447058,0.1300756249683149,0.32432432432432434,0.025684146155022167,0.04759881002974926,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,19.51607852172853,0.6393402271447058,0.1300756249683149,0.32367149758454106,0.020486164195077206,0.0385334291876348,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,20.052045347213767,0.6393402271447058,0.1300756249683149,0.33225806451612905,0.01574682770218621,0.030068603123631587,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,20.740819919586087,0.6393402271447058,0.1300756249683149,0.30917874396135264,0.009784436630484636,0.018968583283935983,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_rec,paper,0,83200,21.852011676788486,0.6393402271447058,0.1300756249683149,0.28846153846153844,0.004586454670539673,0.009029345372460496,42,Mon Jun 17 00:07:22 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,9.543519401550293,0.6589099202701685,0.10094516364972558,0.12330623306233063,0.38954288335116954,0.1873185076272744,42,Mon Jun 17 00:07:23 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,10.006727266311644,0.6589099202701685,0.10094516364972558,0.1272422248032004,0.30148295367680783,0.17895548799854805,42,Mon Jun 17 00:07:23 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,10.652363586425784,0.6589099202701685,0.10094516364972558,0.12388695315524584,0.19568873260969272,0.15172168553310023,42,Mon Jun 17 00:07:23 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,11.762712287902822,0.6589099202701685,0.10094516364972558,0.10298102981029811,0.08133312949090353,0.0908857948236098,42,Mon Jun 17 00:07:23 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,12.140405883789056,0.6589099202701685,0.10094516364972558,0.08807161867892573,0.055648983335881363,0.06820311036162638,42,Mon Jun 17 00:07:23 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,12.643691921234126,0.6589099202701685,0.10094516364972558,0.07354838709677419,0.03485705549610151,0.04729799813297375,42,Mon Jun 17 00:07:23 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,13.383918876647948,0.6589099202701685,0.10094516364972558,0.05079825834542816,0.016052591346888856,0.024395910780669147,42,Mon Jun 17 00:07:23 2019
